Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Adam Duvall","BOS",,0.062322946,0.31161473,0.834366147,0.284375,0.298969072,5.272625364246583,0.227906976,0.204651162,0.56744186,0.172131147,0.3488,79,21,45,58,22,4,92,24,2,0,320,0.3784,0.6,"Adam Duvall",10950,594807
"Ronny Mauricio","NYM",,0.064814814,0.287037037,0.642830949,0.099009901,0.338235294,5.603123290858557,0.257142857,0.471428571,0.271428571,0.105263157,0.3714,25,2,11,9,7,7,26,4,0,0,101,0.4545,0.6,"Ronny Mauricio",23698,677595
"Johan Rojas","PHI",,0.030487804,0.25609756,0.771302352,0.127516779,0.409523809,9.144722679338285,0.207920792,0.455445544,0.336633663,0.058823529,0.2478,45,2,24,23,5,14,59,9,2,1,149,0.4153,0.6,"Johan Rojas",24336,679032
"Joey Votto","CIN",,0.111570247,0.256198347,0.746741893,0.230769231,0.212121212,0.8814935024999999,0.109589041,0.479452054,0.410958904,0.233333333,0.3288,42,14,26,38,27,0,65,6,0,0,208,0.2741,0.5986,"Joey Votto",4314,458015
"C.J. Cron","- - -",,0.061151079,0.233812949,0.729072555,0.186046512,0.284153005,1.8729296025,0.179487179,0.42051282,0.4,0.153846153,0.3436,64,12,38,37,17,0,71,12,0,0,258,0.3498,0.5982,"C.J. Cron",12546,543068
"Matt Chapman","TOR",,0.106712564,0.283993115,0.754826209,0.184675835,0.319148936,3.690020984748051,0.156069364,0.349710982,0.494219653,0.099415204,0.4017,122,17,66,54,62,4,140,39,2,2,509,0.2252,0.598,"Matt Chapman",16505,656305
"Mike Trout","LAA",,0.124309392,0.287292817,0.857663054,0.227272728,0.335106382,3.793133548815447,0.242718446,0.330097087,0.427184466,0.204545454,0.3981,81,18,54,44,45,2,82,14,1,0,308,0.2295,0.597,"Mike Trout",10155,545361
"Christian Yelich","MIL",,0.123417721,0.221518987,0.817525891,0.169090909,0.341836734,5.994608232003207,0.197560975,0.573170731,0.229268292,0.202127659,0.3917,153,19,106,76,78,28,144,34,1,3,550,0.2802,0.5967,"Christian Yelich",11477,592885
"Casey Schmitt","SFG",,0.046931407,0.234657039,0.579585123,0.118577075,0.252688172,3.4089390550750536,0.221052631,0.394736842,0.384210526,0.06849315,0.2887,52,5,28,30,13,2,90,15,0,1,253,0.4139,0.5966,"Casey Schmitt",27577,669477
"Kolten Wong","- - -",,0.072,0.212,0.519392857,0.080357143,0.217647058,3.5864251649880057,0.159763313,0.437869822,0.402366863,0.058823529,0.2529,41,4,25,27,18,3,87,6,0,2,224,0.2996,0.5964,"Kolten Wong",12532,543939
"Cal Raleigh","SEA",,0.094903339,0.27768014,0.761939998,0.22417154,0.273006134,2.11575923375,0.199438202,0.314606741,0.485955056,0.173410404,0.3511,119,30,78,75,54,0,145,23,1,0,513,0.345,0.5963,"Cal Raleigh",21534,663728
"Austin Riley","ATL",,0.082517482,0.24055944,0.861177815,0.23427673,0.324200913,4.080696129840028,0.185263157,0.412631578,0.402105263,0.193717277,0.4126,179,37,117,97,59,3,159,32,3,1,636,0.3102,0.5961,"Austin Riley",18360,663586
"Riley Greene","DET",,0.084134615,0.274038461,0.795647639,0.158730159,0.384313725,5.9857829339940505,0.263157894,0.488721804,0.2481203,0.166666666,0.391,109,11,51,37,35,7,99,19,4,0,378,0.2903,0.596,"Riley Greene",25976,682985
"Marcell Ozuna","ATL",,0.096283783,0.226351351,0.904774349,0.284905661,0.293296089,1.7153880025000001,0.195979899,0.396984924,0.407035175,0.24691358,0.4146,145,40,84,100,57,0,144,29,1,0,530,0.325,0.5952,"Marcell Ozuna",10324,542303
"Jesús Sánchez","MIA",,0.094527363,0.266169154,0.776683291,0.197222223,0.320833333,4.090852002627348,0.241106719,0.494071146,0.264822134,0.208955223,0.3765,91,14,43,52,38,3,125,23,3,1,360,0.3412,0.5942,"Jesus Sanchez",19913,660821
"Garrett Cooper","- - -",,0.067833698,0.288840262,0.723588828,0.168246445,0.323636363,1.31994047125,0.239726027,0.434931506,0.325342465,0.178947368,0.3459,106,17,42,61,31,0,123,18,1,0,422,0.417,0.5935,"Garrett Cooper",15279,643265
"Jose Herrera","ARI",,0.108333333,0.25,0.553077915,0.04950495,0.291666666,4.128883901211168,0.236111111,0.430555555,0.333333333,0,0.2338,21,0,15,7,13,1,43,5,0,0,101,0.2161,0.5932,"Jose Herrera",17040,645444
"Jason Delay","PIT",,0.07486631,0.235294117,0.666224307,0.095808384,0.333333333,2.92694804625,0.245901639,0.434426229,0.319672131,0.025641025,0.1984,42,1,20,18,14,0,70,11,1,0,167,0.3495,0.5923,"Jason Delay",19806,641511
"Riley Adams","WSN",,0.069620253,0.284810126,0.806734666,0.202797203,0.368421052,2.39285714,0.252525252,0.343434343,0.404040404,0.1,0.35,39,4,8,21,11,0,44,13,2,0,143,0.3788,0.592,"Riley Adams",19864,656180
"Ramón Urías","BAL",,0.068181818,0.255050505,0.703282828,0.111111112,0.35546875,4.675921035262104,0.184615384,0.53076923,0.284615384,0.054054054,0.2885,95,4,45,42,27,3,116,22,3,1,360,0.3225,0.5918,"Ramon Urias",18795,602104
"Noelvi Marte","CIN",,0.06504065,0.203252032,0.821994008,0.140350877,0.38372093,4.442229994723375,0.224719101,0.528089887,0.247191011,0.136363636,0.382,36,3,15,15,8,6,35,7,0,2,114,0.3133,0.5897,"Noelvi Marte",26517,682622
"Matt McLain","CIN",,0.076923076,0.285359801,0.864169414,0.216438357,0.384615384,6.890110763587431,0.241935483,0.387096774,0.370967741,0.173913043,0.336,106,16,65,50,31,14,89,23,4,5,365,0.2842,0.5896,"Matt McLain",29695,680574
