Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Ryan McKenna","BAL",,0.121827411,0.375634517,0.558579881,0.082840237,0.311827956,4.533315419215117,0.252631578,0.452631578,0.294736842,0.071428571,0.2577,31,2,20,14,24,1,90,6,1,0,169,0.2516,0.5583,"Ryan McKenna",19928,663630
"Gregory Polanco","PIT",,0.094240837,0.272251308,0.636889179,0.145833333,0.257641921,6.026786837491289,0.176470588,0.382352941,0.44117647,0.104761904,0.3667,70,11,38,36,36,14,107,12,2,1,336,0.3362,0.5577,"Gregory Polanco",12907,570256
"Robinson Chirinos","CHC",,0.080357142,0.321428571,0.777932571,0.226804124,0.303571428,3.44093405875,0.13114754,0.344262295,0.524590163,0.15625,0.3387,22,5,13,15,9,0,45,5,1,0,97,0.3098,0.557,"Robinson Chirinos",3142,455139
"Steven Duggar","SFG",,0.09090909,0.296296296,0.766533493,0.179104478,0.354651162,7.694369780974002,0.264044943,0.376404494,0.359550561,0.125,0.2944,69,8,45,35,27,7,107,14,5,0,268,0.2581,0.5568,"Steven Duggar",17719,621453
"Avisaíl García","MIL",,0.073786407,0.234951456,0.820335698,0.227765726,0.29113924,3.3551650869151084,0.205797101,0.472463768,0.32173913,0.261261261,0.3739,121,29,68,86,38,8,135,18,0,4,461,0.4182,0.5566,"Avisail Garcia",5760,541645
"Sean Murphy","OAK",,0.089285714,0.254464285,0.710383723,0.188295165,0.256603773,1.2539682462500001,0.19858156,0.393617021,0.407801418,0.147826086,0.3404,85,17,47,59,40,0,119,23,0,0,393,0.3163,0.5566,"Sean Murphy",19352,669221
"Adolis García","TEX",,0.051446945,0.311897106,0.740562617,0.211703959,0.305555555,5.063999119026521,0.161538461,0.433333333,0.405128205,0.196202531,0.3887,141,31,77,90,32,16,149,26,2,5,581,0.3971,0.5537,"Adolis Garcia",19287,666969
"Michael A. Taylor","KCR",,0.0625,0.272727272,0.652685606,0.111801242,0.319277108,4.488412702500218,0.217008797,0.442815249,0.340175953,0.103448275,0.3266,118,12,58,54,33,14,142,16,1,7,483,0.3429,0.5535,"Michael A. Taylor",11489,572191
"Kelvin Gutiérrez","- - -",,0.064406779,0.257627118,0.607701893,0.084558823,0.310880829,3.140377800224831,0.153061224,0.607142857,0.239795918,0.063829787,0.3061,63,3,23,20,19,0,85,8,3,1,272,0.3233,0.5514,"Kelvin Gutierrez",17468,642721
"Eloy Jiménez","CHW",,0.069264069,0.246753246,0.739650021,0.187793427,0.292517006,0.8949757837500001,0.222929936,0.484076433,0.29299363,0.217391304,0.3949,53,10,23,37,16,0,55,10,0,0,213,0.3953,0.55,"Eloy Jimenez",17484,650391
"Ryan Jeffers","MIN",,0.075085324,0.368600682,0.670373636,0.202247191,0.268965517,2.3145024972761052,0.207547169,0.421383647,0.371069182,0.237288135,0.3962,53,14,28,35,22,0,85,10,1,1,267,0.3266,0.5492,"Ryan Jeffers",24618,680777
"Max Stassi","LAA",,0.087774294,0.31661442,0.751550722,0.184397163,0.325443786,2.9274956899999998,0.23076923,0.439560439,0.329670329,0.216666666,0.3022,68,13,45,35,28,0,87,11,1,0,282,0.2697,0.5487,"Max Stassi",10059,545358
"Eli White","TEX",,0.081818181,0.3,0.567171717,0.131313132,0.23015873,5.194115450903778,0.1640625,0.3984375,0.4375,0.107142857,0.197,35,6,26,15,18,4,64,6,1,3,198,0.2937,0.5473,"Eli White",19346,642201
"Jonathan Davis","- - -",,0.116504854,0.252427184,0.424840977,0.045977012,0.163934426,5.882829199650143,0.177419354,0.43548387,0.387096774,0.041666666,0.1935,11,1,20,4,12,4,64,1,0,1,87,0.2054,0.5472,"Jonathan Davis",15104,641505
"Brandon Lowe","TBR",,0.110569105,0.271544715,0.863201883,0.276635514,0.280120481,3.832119792646915,0.217391304,0.342391304,0.440217391,0.24074074,0.3531,132,39,97,99,68,7,149,31,0,1,535,0.3377,0.546,"Brandon Lowe",18882,664040
"Martín Maldonado","HOU",,0.110328638,0.298122065,0.572568565,0.128686327,0.221276595,2.0355339025,0.209016393,0.368852459,0.422131147,0.116504854,0.2794,64,12,40,36,47,0,125,10,1,0,373,0.273,0.5458,"Martin Maldonado",6887,455117
"Franmil Reyes","CLE",,0.092274678,0.319742489,0.845565434,0.267942584,0.314049586,3.878263556563065,0.176470588,0.463235294,0.360294117,0.306122448,0.4375,106,30,57,85,43,4,115,18,2,1,418,0.2966,0.5457,"Franmil Reyes",14566,614177
"Niko Goodrum","DET",,0.089230769,0.329230769,0.650928381,0.144827586,0.301136363,6.463479607777667,0.221621621,0.416216216,0.362162162,0.134328358,0.3081,62,9,39,33,29,14,90,11,2,5,290,0.3299,0.5455,"Niko Goodrum",12092,592348
"José Marmolejos","SEA",,0.122950819,0.319672131,0.573615835,0.150943396,0.203125,1.08035714,0.220588235,0.294117647,0.485294117,0.121212121,0.2647,17,4,11,12,15,0,41,4,0,0,106,0.3033,0.5446,"Jose Marmolejos",15767,592530
"Eric Haase","DET",,0.068241469,0.312335958,0.744778696,0.227920228,0.278301886,3.661483004127415,0.2008547,0.384615384,0.414529914,0.226804123,0.3632,81,22,48,61,26,2,98,12,1,0,351,0.3304,0.5433,"Eric Haase",14111,606992
"Yu Chang","CLE",,0.043824701,0.274900398,0.693092607,0.198312236,0.28125,5.634024488059387,0.213017751,0.355029585,0.431952662,0.123287671,0.2899,54,9,32,39,11,1,89,14,3,0,237,0.3363,0.5426,"Yu Chang",14773,644374
"Willy Adames","- - -",,0.102702702,0.281081081,0.817822247,0.219315895,0.331230283,3.336629405099931,0.228070175,0.365497076,0.406432748,0.179856115,0.3772,130,25,77,73,57,5,140,32,1,4,497,0.3155,0.5424,"Willy Adames",15986,642715
